Runtime (minutes),readseq_kml,readseq_vanilla,readahead
7.35,,0.039,
7.366666666666666,,0.04,
7.383333333333334,,0.041,
7.4,,0.042,
7.416666666666667,,0.043,
7.433333333333334,,0.044,
7.45,,0.045,
7.466666666666667,,0.046,
7.483333333333333,,0.047,
7.5,,0.048,
7.516666666666667,,0.049,
7.533333333333333,,0.05,
